team,video,title,artistMain,artistSub,ko_translate,ko_read,en_read,sub1,sub2,sub3
케이온,https://www.youtube.com/watch?v=ZGuXHxZNozg&feature=emb_title,Girls in Wonderland,,,,걸즈 인 원더랜드,Girls in wonderland,,,
케이온,https://youtu.be/EV-bDK_aipw,Go! Go! Maniac,,,가자가자미친놈,고고매니악,GoGoManiac,,,
하루히,https://www.youtube.com/watch?v=WWB01IuMvzA,God Knows...,스즈미야하루히,,,갓노우즈,GodKnows,,,
하루히-커버,https://www.youtube.com/watch?v=9VE69iqNCfI,God Knows...,호죠카렌,,,갓노우즈,GodKnows,,,
하루히-커버,https://www.youtube.com/watch?v=UFVYFshNUGY,God Knows...,하츠네미쿠,,,갓노우즈,GodKnows,,,
하루히-커버,https://www.youtube.com/watch?v=dQiZhNszRg8,God Knows...,나나코,보쿠라노리메이크,,갓노우즈,GodKnows,,,
하루히-커버,https://www.youtube.com/watch?v=_pIKEdSf7uo,God Knows...,포피파,뱅드림,,갓노우즈,GodKnows,,,
하루히,https://youtu.be/kNBCIaaXbkM,God knows... 리믹스,,,갓노우즈리믹스,,god knows remix,,,
하루히,https://youtu.be/b9FFZMSBiTc,God knows... 현주,,,갓노우즈 현주,갓노우즈겐소우,god knows gensou,,,
케이온,https://youtu.be/B4mE6e2CUOU,Gohan wa Okazu Movie,,,밥은반찬무비,고항와오카즈무비,Gohan wa Okazu Movie,,,
러키스타,https://www.youtube.com/watch?v=wSHWne-gbJY,Gomennasai!,,,미안해,Gomennasai,ImSorry,,,
하루히,https://youtu.be/kklk1O6j2Ng,Greed's Accident,나가토유키,,Greed's Accident,재용이의 사고,그리즈 엑시던트,,,
러키스타,https://www.youtube.com/watch?v=0JrPJeDZjGU,Growing,,,Growing,성장,,,,
케이온,https://youtu.be/1RIzrdEFVcA,Guitar Ni Kubittake,,,,기타니쿠빗타케,Guitar ni kubittake,,,
케이온,https://youtu.be/YvUzKCCyrR4,Happy! Sorry...,,,행복죄송,,Happy! Sorry...,,,
하루히-커버,https://www.youtube.com/watch?v=I7fopwh37dI,Hare Hare Yukai (Hello Happy World Ran Aya),,,맑게맑게유쾌하게 헬로하피 란 아야,하레하레유카이헬로하피 란 아야,하레하레유카이 뱅드림,hare hare yukai bang dream,하레하레하로하피,hare hare yukai hello happy world
케이온,https://youtu.be/cw2fwpGSb0Y,Heart Goes Boom,,,,하트고즈붐,Heart Goes Boom,,,
케이온,https://youtu.be/BqBF3JZUmpA,Hello Little Girl,,,,헬로리틀걸,Hello Little Girl,,,
